,PCL-5,PCL-C,PCL-M,MPSS
0,0,19,19,0
1,0,19,19,0
2,0,20,20,0
3,2,21,21,0
4,3,22,22,1
5,4,23,23,2
6,6,24,24,3
7,7,25,25,4
8,9,26,26,5
9,10,27,27,6
10,11,28,28,7
11,13,29,29,8
12,14,30,30,9
13,15,30,30,10
14,17,31,31,10
15,18,32,32,11
16,19,33,33,12
17,21,34,34,13
18,22,35,35,14
19,23,36,36,15
20,24,37,37,16
21,26,38,38,17
22,27,39,39,17
23,28,40,40,18
24,29,41,41,19
25,31,42,42,20
26,32,43,43,21
27,33,44,44,22
28,34,45,45,22
29,35,46,46,23
30,37,46,46,24
31,38,47,47,25
32,39,48,48,25
33,40,49,49,26
34,41,50,50,27
35,42,51,51,27
36,43,52,52,28
37,45,53,53,29
38,46,54,54,29
39,47,55,55,30
40,48,56,56,31
41,49,57,57,31
42,50,58,58,32
43,51,59,59,32
44,52,60,60,33
45,53,61,61,34
46,54,62,62,34
47,55,63,63,35
48,56,64,64,35
49,57,65,65,36
50,58,66,66,36
51,59,67,67,37
52,60,68,68,37
53,61,69,69,38
54,62,70,70,38
55,63,71,71,39
56,64,72,72,39
57,65,73,73,40
58,66,74,74,40
59,67,75,75,40
60,68,76,76,41
61,69,77,77,41
62,70,78,78,42
63,71,79,79,42
64,71,80,80,42
65,72,81,81,43
66,73,82,82,43
67,74,83,83,43
68,75,84,84,44
