,PCL-5,PCL-C,PCL-M,DTS
0,3,21,21,3
1,4,21,21,4
2,5,22,22,5
3,6,23,23,6
4,8,24,24,7
5,9,24,24,8
6,10,25,25,8
7,11,26,26,9
8,13,27,27,10
9,14,28,28,11
10,16,29,29,12
11,17,30,30,13
12,18,31,31,15
13,20,32,32,16
14,21,33,33,17
15,23,34,34,18
16,24,35,35,19
17,25,36,36,20
18,27,37,37,22
19,28,39,39,23
20,30,40,40,24
21,32,41,41,26
22,33,43,43,27
23,35,44,44,28
24,36,45,45,30
25,38,47,47,31
26,39,48,48,33
27,41,50,50,34
28,43,51,51,36
29,44,53,53,37
30,46,54,54,39
31,48,56,56,40
32,49,58,58,42
33,51,59,59,44
34,53,61,61,45
35,55,63,63,47
36,56,65,65,49
37,58,66,66,50
38,60,68,68,52
39,62,70,70,54
40,64,72,72,56
41,65,74,74,58
42,67,76,76,60
43,69,78,78,62
44,71,80,80,64
45,73,82,82,66
46,75,84,84,68
47,77,85,85,68
48,79,85,85,68
49,80,85,85,68
50,80,85,85,68
51,80,85,85,68
