,PCL-C,PCL-M,DTS,MPSS
0,19,19,2,0
1,20,20,2,0
2,20,20,3,1
3,21,21,4,1
4,21,21,4,2
5,22,22,5,3
6,22,22,6,3
7,23,23,6,4
8,24,24,7,5
9,24,24,8,6
10,25,25,8,6
11,26,26,9,7
12,26,26,10,8
13,27,27,10,8
14,28,28,11,9
15,28,28,12,10
16,29,29,13,10
17,30,30,13,11
18,30,30,14,12
19,31,31,15,12
20,32,32,16,13
21,33,33,16,14
22,33,33,17,14
23,34,34,18,15
24,35,35,19,16
25,36,36,19,16
26,36,36,20,17
27,37,37,21,18
28,38,38,22,18
29,39,39,23,19
30,39,39,23,20
31,40,40,24,20
32,41,41,25,21
33,42,42,26,21
34,43,43,27,22
35,43,43,28,23
36,44,44,28,23
37,45,45,29,24
38,46,46,30,25
39,47,47,31,25
40,48,48,32,26
41,49,49,33,26
42,49,49,34,27
43,50,50,35,28
44,51,51,36,28
45,52,52,36,29
46,53,53,37,29
47,54,54,38,30
48,55,55,39,30
49,56,56,40,31
50,57,57,41,32
51,58,58,42,32
52,59,59,43,33
53,60,60,44,33
54,61,61,45,34
55,62,62,46,34
56,63,63,47,35
57,64,64,48,36
58,65,65,49,36
59,66,66,50,37
60,67,67,51,37
61,68,68,52,38
62,69,69,53,38
63,70,70,54,39
64,71,71,55,39
65,72,72,56,40
66,73,73,57,40
67,74,74,58,41
68,75,75,59,41
69,76,76,60,42
70,77,77,62,42
71,78,78,63,43
72,79,79,64,43
73,80,80,65,44
74,82,82,66,44
75,83,83,67,45
76,84,84,68,45
77,85,85,68,46
78,85,85,68,46
79,85,85,68,47
80,85,85,68,47
